stem	number_of_neutral_Vs	last_V	last_V_height	last_V_length	penult_V	penult_V_height	penult_V_length	B_quality	B_height	B_length	total_frequency	is_output_nak
potens	1	e	3	0	NA	NA	NA	o	2	0	5	0
bulldózer	1	e	3	0	NA	NA	NA	ó	2	1	5	0
harlekin	2	i	1	0	e	3	0	a	3	0	6	0
akvarell	1	e	3	0	NA	NA	NA	a	3	0	6	0
permanens	1	e	3	0	NA	NA	NA	a	3	0	6	0
harakiri	2	i	1	0	i	1	0	a	3	0	7	0
koriander	1	e	3	0	NA	NA	NA	a	3	0	7	0
zsáner	1	e	3	0	NA	NA	NA	á	4	1	7	0
templomé	1	é	2	1	NA	NA	NA	o	2	0	7	0
bibliofil	1	i	1	0	NA	NA	NA	o	2	0	7	0
rubel	1	e	3	0	NA	NA	NA	u	1	0	7	0
katalízis	2	i	1	0	í	1	1	a	3	0	8	0
azbeszt	1	e	3	0	NA	NA	NA	a	3	0	8	0
gobelin	2	i	1	0	e	3	0	o	2	0	8	0
doktriner	2	e	3	0	i	1	0	o	2	0	8	0
kortes	1	e	3	0	NA	NA	NA	o	2	0	8	0
duplex	1	e	3	0	NA	NA	NA	u	1	0	8	0
bankett	1	e	3	0	NA	NA	NA	a	3	0	9	0
reagens	1	e	3	0	NA	NA	NA	a	3	0	9	0
propeller	2	e	3	0	e	3	0	o	2	0	9	0
obeliszk	2	i	1	0	e	3	0	o	2	0	9	0
pollen	1	e	3	0	NA	NA	NA	o	2	0	9	0
tandem	1	e	3	0	NA	NA	NA	a	3	0	10	0
brandi	1	i	1	0	NA	NA	NA	a	3	0	10	0
pulóver	1	e	3	0	NA	NA	NA	ó	2	1	10	0
burleszk	1	e	3	0	NA	NA	NA	u	1	0	10	0
galeri	2	i	1	0	e	3	0	a	3	0	11	0
molett	1	e	3	0	NA	NA	NA	o	2	0	11	0
notesz	1	e	3	0	NA	NA	NA	o	2	0	11	0
formaldehid	2	i	1	0	e	3	0	a	3	0	12	0
protézis	2	i	1	0	é	2	1	o	2	0	12	0
dragóner	1	e	3	0	NA	NA	NA	ó	2	1	12	0
sziluett	1	e	3	0	NA	NA	NA	u	1	0	12	0
hipermodern	1	e	3	0	NA	NA	NA	o	2	0	13	0
kollagén	1	é	2	1	NA	NA	NA	a	3	0	14	0
stewardess	1	e	3	0	NA	NA	NA	a	3	0	15	0
toalett	1	e	3	0	NA	NA	NA	a	3	0	15	0
hipofízis	2	i	1	0	í	1	1	o	2	0	15	0
duett	1	e	3	0	NA	NA	NA	u	1	0	15	0
transzparens	1	e	3	0	NA	NA	NA	a	3	0	16	0
konvex	1	e	3	0	NA	NA	NA	o	2	0	16	0
karcinogén	1	é	2	1	NA	NA	NA	o	2	0	17	0
bitumen	1	e	3	0	NA	NA	NA	u	1	0	17	0
gradiens	2	e	3	0	i	1	0	a	3	0	18	0
pamflet	1	e	3	0	NA	NA	NA	a	3	0	18	0
majonéz	1	é	2	1	NA	NA	NA	o	2	0	18	0
október	1	e	3	0	NA	NA	NA	ó	2	1	18	0
kaliber	2	e	3	0	i	1	0	a	3	0	19	0
ambivalens	1	e	3	0	NA	NA	NA	a	3	0	19	0
revolver	1	e	3	0	NA	NA	NA	o	2	0	20	0
virulens	1	e	3	0	NA	NA	NA	u	1	0	21	0
kofein	2	i	1	0	e	3	0	o	2	0	22	0
amulett	1	e	3	0	NA	NA	NA	u	1	0	23	0
mutagén	1	é	2	1	NA	NA	NA	a	3	0	24	0
londiner	2	e	3	0	i	1	0	o	2	0	24	0
szonett	1	e	3	0	NA	NA	NA	o	2	0	25	0
hamburger	1	e	3	0	NA	NA	NA	u	1	0	25	0
spániel	2	e	3	0	i	1	0	á	4	1	26	0
bukfenc	1	e	3	0	NA	NA	NA	u	1	0	28	0
dekóder	1	e	3	0	NA	NA	NA	ó	2	1	30	0
korrektség	2	é	2	1	e	3	0	o	2	0	31	0
pergamen	1	e	3	0	NA	NA	NA	a	3	0	32	0
hárem	1	e	3	0	NA	NA	NA	á	4	1	32	0
pitiáner	1	e	3	0	NA	NA	NA	á	4	1	37	0
ekvivalens	1	e	3	0	NA	NA	NA	a	3	0	39	0
nitrogén	1	é	2	1	NA	NA	NA	o	2	0	40	0
konzerv	1	e	3	0	NA	NA	NA	o	2	0	43	0
konténer	2	e	3	0	é	2	1	o	2	0	44	0
konverter	2	e	3	0	e	3	0	o	2	0	46	0
kábelé	2	é	2	1	e	3	0	á	4	1	47	0
bagatell	1	e	3	0	NA	NA	NA	a	3	0	48	0
transzcendens	2	e	3	0	e	3	0	a	3	0	49	0
adapter	1	e	3	0	NA	NA	NA	a	3	0	50	0
mágnes	1	e	3	0	NA	NA	NA	á	4	1	52	0
dekadens	1	e	3	0	NA	NA	NA	a	3	0	53	0
ábécé	2	é	2	1	é	2	1	á	4	1	61	0
operett	2	e	3	0	e	3	0	o	2	0	62	0
modernség	2	é	2	1	e	3	0	o	2	0	68	0
kontingens	2	e	3	0	i	1	0	o	2	0	74	0
helikopter	1	e	3	0	NA	NA	NA	o	2	0	83	0
konkurens	1	e	3	0	NA	NA	NA	u	1	0	86	0
impotens	1	e	3	0	NA	NA	NA	o	2	0	90	0
konzulens	1	e	3	0	NA	NA	NA	u	1	0	97	0
konszern	1	e	3	0	NA	NA	NA	o	2	0	125	0
groteszk	1	e	3	0	NA	NA	NA	o	2	0	135	0
analízis	2	i	1	0	í	1	1	a	3	0	159	0
docens	1	e	3	0	NA	NA	NA	o	2	0	211	0
kontinens	2	e	3	0	i	1	0	o	2	0	225	0
asszisztens	2	e	3	0	i	1	0	a	3	0	237	0
karrier	2	e	3	0	i	1	0	a	3	0	243	0
jeruzsálem	1	e	3	0	NA	NA	NA	á	4	1	337	0
parlamentje	2	e	3	0	e	3	0	a	3	0	401	0
komponens	1	e	3	0	NA	NA	NA	o	2	0	425	0
kabinet	2	e	3	0	i	1	0	a	3	0	445	0
riporter	1	e	3	0	NA	NA	NA	o	2	0	570	0
jupiter	2	e	3	0	i	1	0	u	1	0	591	0
paraméter	2	e	3	0	é	2	1	a	3	0	689	0
páciens	2	e	3	0	i	1	0	á	4	1	870	0
parlament	1	e	3	0	NA	NA	NA	a	3	0	3699	0
koncert	1	e	3	0	NA	NA	NA	o	2	0	885	0
amelyik	2	i	1	0	e	3	0	a	3	0	4748	0
modell	1	e	3	0	NA	NA	NA	o	2	0	2808	0
izrael	1	e	3	0	NA	NA	NA	a	3	0	1965	0
modern	1	e	3	0	NA	NA	NA	o	2	0	1138	0
pszichiáter	1	e	3	0	NA	NA	NA	á	4	1	208	0
oxigén	2	é	2	1	i	1	0	o	2	0	151	0
valamelyik	2	i	1	0	e	3	0	a	3	0	413	0
sláger	1	e	3	0	NA	NA	NA	á	4	1	382	0
alibi	2	i	1	0	i	1	0	a	3	0	110	0
mózes	1	e	3	0	NA	NA	NA	ó	2	1	2348	0
szlogen	1	e	3	0	NA	NA	NA	o	2	0	92	0
korrekt	1	e	3	0	NA	NA	NA	o	2	0	1283	0
boxer	1	e	3	0	NA	NA	NA	o	2	0	54	0
skizofrén	1	é	2	1	NA	NA	NA	o	2	0	43	0
madáré	1	é	2	1	NA	NA	NA	á	4	1	38	0
drukker	1	e	3	0	NA	NA	NA	u	1	0	110	0
partner	1	e	3	0	NA	NA	NA	a	3	0	3081	0
kartell	1	e	3	0	NA	NA	NA	a	3	0	33	0
poszter	1	e	3	0	NA	NA	NA	o	2	0	31	0
ómen	1	e	3	0	NA	NA	NA	ó	2	1	59	0
szuverén	2	é	2	1	e	3	0	u	1	0	51	0
kábel	1	e	3	0	NA	NA	NA	á	4	1	497	0
káder	1	e	3	0	NA	NA	NA	á	4	1	23	0
kókler	1	e	3	0	NA	NA	NA	ó	2	1	21	0
szuper	1	e	3	0	NA	NA	NA	u	1	0	73	0
fráter	1	e	3	0	NA	NA	NA	á	4	1	94	0
hotel	1	e	3	0	NA	NA	NA	o	2	0	184	0
szanitéc	2	é	2	1	i	1	0	a	3	0	12	0
domén	1	é	2	1	NA	NA	NA	o	2	0	12	0
kráter	1	e	3	0	NA	NA	NA	á	4	1	35	0
motel	1	e	3	0	NA	NA	NA	o	2	0	22	0
makett	1	e	3	0	NA	NA	NA	a	3	0	43	0
homogén	1	é	2	1	NA	NA	NA	o	2	0	320	0
tróger	1	e	3	0	NA	NA	NA	ó	2	1	17	0
balett	1	e	3	0	NA	NA	NA	a	3	0	134	0
indonéz	1	é	2	1	NA	NA	NA	o	2	0	8	0
dzsungel	1	e	3	0	NA	NA	NA	u	1	0	92	0
szuggesztív	2	í	1	1	e	3	0	u	1	0	14	0
páter	1	e	3	0	NA	NA	NA	á	4	1	69	0
progresszív	2	í	1	1	e	3	0	o	2	0	135	0
inhomogén	1	é	2	1	NA	NA	NA	o	2	0	6	0
roller	1	e	3	0	NA	NA	NA	o	2	0	12	0
fotel	1	e	3	0	NA	NA	NA	o	2	0	44	0
objektív	2	í	1	1	e	3	0	o	2	0	666	0
kampec	1	e	3	0	NA	NA	NA	a	3	0	10	0
szubjektív	2	í	1	1	e	3	0	u	1	0	170	0
panel	1	e	3	0	NA	NA	NA	a	3	0	118	0
aszpirin	2	i	1	0	i	1	0	a	3	0	19	0
púder	1	e	3	0	NA	NA	NA	ú	1	1	14	0
bunker	1	e	3	0	NA	NA	NA	u	1	0	27	0
spagetti	2	i	1	0	e	3	0	a	3	0	23	0
hokedli	2	i	1	0	e	3	0	o	2	0	7	0
tutyi	1	i	1	0	NA	NA	NA	u	1	0	7	0
poézis	2	i	1	0	é	2	1	o	2	0	51	0
obszcén	1	é	2	1	NA	NA	NA	o	2	0	116	0
kofer	1	e	3	0	NA	NA	NA	o	2	0	6	1
arzén	1	é	2	1	NA	NA	NA	a	3	0	14	1
intuitív	2	í	1	1	i	1	0	u	1	0	21	1
balek	1	e	3	0	NA	NA	NA	a	3	0	226	1
vaker	1	e	3	0	NA	NA	NA	a	3	0	5	1
labilis	2	i	1	0	i	1	0	a	3	0	53	1
kuli	1	i	1	0	NA	NA	NA	u	1	0	9	1
haver	1	e	3	0	NA	NA	NA	a	3	0	1317	1
fater	1	e	3	0	NA	NA	NA	a	3	0	152	1
budi	1	i	1	0	NA	NA	NA	u	1	0	12	1
tanker	1	e	3	0	NA	NA	NA	a	3	0	81	1
káté	1	é	2	1	NA	NA	NA	á	4	1	15	1
klarinét	2	é	2	1	i	1	0	a	3	0	16	1
rentábilis	2	i	1	0	i	1	0	á	4	1	48	1
április	2	i	1	0	i	1	0	á	4	1	18	1
karantén	1	é	2	1	NA	NA	NA	a	3	0	19	1
bakfis	1	i	1	0	NA	NA	NA	a	3	0	19	1
konkrét	1	é	2	1	NA	NA	NA	o	2	0	93	1
antik	1	i	1	0	NA	NA	NA	a	3	0	36	1
attasé	1	é	2	1	NA	NA	NA	a	3	0	37	1
pozitív	2	í	1	1	i	1	0	o	2	0	1323	1
passzív	1	í	1	1	NA	NA	NA	a	3	0	203	1
magáé	1	é	2	1	NA	NA	NA	á	4	1	10953	1
kocsi	1	i	1	0	NA	NA	NA	o	2	0	1575	1
profilaxis	1	i	1	0	NA	NA	NA	a	3	0	5	1
zselatin	1	i	1	0	NA	NA	NA	a	3	0	5	1
kutyáé	1	é	2	1	NA	NA	NA	á	4	1	5	1
narkózis	1	i	1	0	NA	NA	NA	ó	2	1	5	1
pudli	1	i	1	0	NA	NA	NA	u	1	0	5	1
trambulin	1	i	1	0	NA	NA	NA	u	1	0	5	1
hawaii	2	i	1	0	i	1	0	a	3	0	6	1
babér	1	é	2	1	NA	NA	NA	a	3	0	6	1
pallér	1	é	2	1	NA	NA	NA	a	3	0	6	1
reaktív	1	í	1	1	NA	NA	NA	a	3	0	6	1
nyápic	1	i	1	0	NA	NA	NA	á	4	1	6	1
bordély	1	é	2	1	NA	NA	NA	o	2	0	6	1
zeolit	1	i	1	0	NA	NA	NA	o	2	0	6	1
gumis	1	i	1	0	NA	NA	NA	u	1	0	6	1
kaszni	1	i	1	0	NA	NA	NA	a	3	0	7	1
