Verb	CELEX_count	log_frequency	nasal_in_stressed_coda	stressed_onset_complex	ends_t_d	is_it_two_syllables	modern_type	Modern_Irregular	Middle_Irregular	Old_Irregular	Old_English_source	Middle_English_source
bend	537	2.729974286	1	0	1	0	devoice	1	0	0	N	N
build	1890	3.276461804	0	0	1	0	devoice	1	0	0	N	N
lend	279	2.445604203	1	0	1	0	devoice	1	1	1	11	N
rend	15	1.176091259	1	0	1	0	devoice	1	0	0	N	N
send	1866	3.270911639	1	0	1	0	devoice	1	0	0	N	N
spend	2270	3.356025857	1	1	1	0	devoice	1	0	0	N	N
be	508099	5.70594834	0	0	0	0	other	1	1	1	2	7
bring	3982	3.600101256	1	1	0	0	other	1	1	1	2	N
buy	2200	3.342422681	0	0	0	0	other	1	1	1	5	N
catch	1315	3.118925753	0	0	0	0	other	1	0	0	N	N
do	45836	4.661206711	0	0	0	0	other	1	1	1	2	8
go	33287	4.522274656	0	0	0	0	other	1	1	1	8	8
have	109728	5.040317463	0	0	0	0	other	1	1	1	2	N
make	19638	4.293097256	0	0	0	0	other	1	0	0	N	N
say	28957	4.461753566	0	0	0	0	other	1	1	1	2	N
see	21266	4.32768581	0	0	0	0	other	1	1	1	2	8
seek	1229	3.089551883	0	0	0	0	other	1	1	1	2	N
sell	1302	3.114610984	0	0	0	0	other	1	0	0	N	N
stand	4302	3.633670406	1	1	1	0	other	1	1	1	2	7
teach	1142	3.057666104	0	0	0	0	other	1	1	1	2	N
tell	7972	3.90156729	0	0	0	0	other	1	0	0	N	N
think	16482	4.21700991	1	0	0	0	other	1	1	1	2	N
foretell	16	1.204119983	0	0	0	1	other	1	0	0	N	N
forgo	64	1.806179974	0	0	0	1	other	1	0	0	N	N
undergo	233	2.367355921	0	0	0	1	other	1	0	0	N	N
understand	2374	3.375480715	1	1	1	1	other	1	1	1	2	N
withstand	57	1.755874856	1	1	1	1	other	1	0	0	N	N
bake	213	2.328379603	0	0	0	0	regular	0	1	1	2	10
bark	122	2.086359831	0	0	0	0	regular	0	0	1	11	N
bide	13	1.113943352	0	0	0	0	regular	0	1	1	2	10
blend	75	1.875061263	1	1	1	0	regular	0	0	1	11	N
bow	142	2.152288344	0	0	0	0	regular	0	1	1	1	10
